11072000,Tostada.,t,97
11063000,De los productos del Capitulo 8.,t,117
11042990,Otros,t,92
11042219,Los demas,t,92
11041200,De avena.,t,94
11032090,Otros,t,93
11032010,De trigo,t,92
11031910,De avena,t,91
11031390,Otros,t,90
11031100,De trigo.,t,89
11029090,Otras.,t,88
11029030,Harina De arroz,t,87
11029020,Harina de avena.,t,86
11029010,Harina de cebada.,t,85
11022000,Harina de maiz.,t,84
11010000,Harina de trigo (tranquilon),t,83
10082900,Los demas,f,82
10079000,Los demas,f,82
10064000,Arroz partido.,f,82
10063090,Otros,f,81
10061010,Para siembra.,f,81
10059090,Otros.,f,81
10059030,Maiz blanco.,f,81
10059020,Maiz amarillo.,f,81
10059010,"Maiz tipo ""pop"" (Zea mays everta)",t,81
10051000,Para siembra.,f,80
10019900,Los demas,f,80
10011900,Los demas,f,80
9109990, Otras,f,80
9109930, Curry,f,79
9109920, Hojas De Laurel,f,78
9109910,Tomillo,f,77
9109100,Mezclas previstas en la Nota 1 b) de este Capitulo,f,116
9103000,Curcuma.,f,76
9102000,Azafran.,t,75
9101210,Seco,f,74
9101190,Otros,f,74
9101110,Seco,f,74
9096210,Semillas de anis o de badiana,f,74
9093200,Trituradas o pulverizadas,t,74
9092200,Trituradas o pulverizadas,t,73
9092100, Sin triturar ni pulverizar,f,73
9081200,Triturada o pulverizada,t,73
9072000,Triturado o pulverizado,t,73
9071000,Sin triturar ni pulverizar,f,73
9062000,Trituradas o pulverizadas.,t,73
9061100,Canela (Cinnamomum zeylanicum Blume),f,73
9052000,Triturada o pulverizada,f,72
9042200,Triturados o pulverizados,f,72
9042100,Secos Sin triturar ni pulverizar,f,72
9041200,Triturada o pulverizada.,t,72
9041190,Otras,f,72
9041110,Pimienta negra,f,72
9024000,Te negro (fermentado)  presentados de otra forma.,t,71
9023000,"Te negro (fermentado)  presentados en envases inmediatos, contenido<=  3 kg",t,71
9022000,Te verde (sin fermentar) presentado de otra forma.,f,71
9021000,"Te verde (sin fermentar) presentado en envases inmediatos, contenido<= 3 kg",f,71
9019000,Los demas.,f,70
9012200,Descafeinado.,t,70
9012100,Sin descafeinar.,f,70
9011200,Descafeinado.,t,70
9011190,Otros.,f,70
9011130,Cafe oro.,f,70
9011120,Cafe pergamino.,f,70
